case_id,architecture,response_relevancy,json_file
V1,arch1,0.5228823017827192,V1_arch1_20260407_221407.json
V1,arch2,0.5325917257047568,V1_arch2_20260408_070334.json
V1,arch3,0.47825357605099184,V1_arch3_20260408_080240.json
V2,arch1,0.4631971726881438,V2_arch1_20260411_112015.json
V2,arch2,0.4728143852064773,V2_arch2_20260411_112039.json
V2,arch3,0.4807869505143248,V2_arch3_20260411_112100.json
V3,arch1,0.4269396217963273,V3_arch1_20260407_224830.json
V3,arch2,0.6085731425303758,V3_arch2_20260408_072124.json
V3,arch3,0.4404201297524683,V3_arch3_20260408_075347.json
V4,arch1,0.5747054137199583,V4_arch1_20260411_113537.json
V4,arch2,0.45298307274662103,V4_arch2_20260411_113112.json
V4,arch3,0.45647659901530235,V4_arch3_20260411_113657.json
V5,arch1,0.4105777530660683,V5_arch1_20260407_232005.json
V5,arch2,0.4586992844026399,V5_arch2_20260408_072324.json
V5,arch3,0.513642947770876,V5_arch3_20260408_080353.json
V6,arch1,0.5327953336954553,V6_arch1_20260411_114536.json
V6,arch2,0.518096206313914,V6_arch2_20260411_115008.json
V6,arch3,0.5090714077461949,V6_arch3_20260411_114550.json
V8,arch1,0.41710710804129714,V8_arch1_20260411_045941.json
V8,arch2,0.4404896925928125,V8_arch2_20260411_050437.json
V8,arch3,0.45638058464219733,V8_arch3_20260411_075852.json
V10,arch1,0.43111634765086976,V10_arch1_20260410_204708.json
V10,arch2,0.4259477448574173,V10_arch2_20260410_210311.json
V10,arch3,0.4353020701687196,V10_arch3_20260410_205350.json
V11,arch1,0.6251677256350515,V11_arch1_20260411_083158.json
V11,arch2,0.4177468537531559,V11_arch2_20260411_083710.json
V11,arch3,0.4200266729708026,V11_arch3_20260411_085135.json
